ZIP,num_long_term_facilities,num_non_long_term_facilities,total_capacity
91901,0,5,0
91902,1,0,6
91906,0,2,0
91910,6,19,321
91911,8,12,743
91913,1,1,15
91914,2,1,42
91915,0,1,0
91932,0,2,0
91941,2,6,100
91942,15,19,1221
91945,3,7,263
91950,11,16,745
91977,4,4,221
92004,0,3,0
92008,3,8,84
92009,7,1,115
92010,0,1,0
92011,0,3,0
92014,1,0,93
92019,1,4,6
92020,14,22,1041
92021,10,12,622
92024,5,14,479
92025,7,53,520
92026,18,6,130
92027,1,5,98
92028,2,5,99
92029,3,2,381
92036,0,1,0
92037,6,6,1275
92040,7,3,129
92054,1,13,21
92056,6,9,536
92057,3,3,18
92058,2,7,14
92061,0,3,0
92064,5,6,484
92065,2,2,18
92069,4,13,38
92071,11,1,351
92075,0,1,0
92078,3,12,292
92081,4,9,107
92082,1,7,6
92083,4,13,307
92084,7,8,223
92101,0,14,0
92102,3,11,154
92103,10,15,1435
92104,1,4,70
92105,4,24,367
92108,0,25,0
92109,0,6,0
92110,2,2,242
92111,3,13,142
92113,0,10,0
92114,3,6,37
92115,2,9,58
92117,0,1,0
92118,2,0,181
92119,2,0,12
92120,4,0,707
92121,0,15,0
92122,2,5,119
92123,11,43,2190
92126,0,25,0
92127,3,4,414
92128,2,11,221
92129,1,2,16
92130,3,2,75
92131,1,3,45
92139,4,0,194
92154,8,3,121
92173,0,10,0
